source,target,type,year,variable,value
PerName,CorpName,GND,1300,Corp-Per_GND,37
PerName,CorpName,Comp,1300,Corp-Per_Comp,1064
PerName,GeoName,GND,1300,Geo-Per_GND,524
PerName,MeetName,GND,1300,Meet-Per_GND,1
PerName,PerName,GND,1300,Per-Per_GND,702
PerName,PerName,Comp,1300,Per-Per_Comp,17681
PerName,Resource,KPE,1300,Res-Per_KPE,63
PerName,Resource,DNB,1300,Res-Per_DNB,0
PerName,Resource,SBB,1300,Res-Per_SBB,279
PerName,Resource,ZDB,1300,Res-Per_ZDB,0
PerName,UniTitle,GND,1300,Uni-Per_GND,0
PerName,CorpName,GND,1350,Corp-Per_GND,69
PerName,CorpName,Comp,1350,Corp-Per_Comp,1420
PerName,GeoName,GND,1350,Geo-Per_GND,848
PerName,MeetName,GND,1350,Meet-Per_GND,1
PerName,PerName,GND,1350,Per-Per_GND,1109
PerName,PerName,Comp,1350,Per-Per_Comp,20683
PerName,Resource,KPE,1350,Res-Per_KPE,187
PerName,Resource,DNB,1350,Res-Per_DNB,5
PerName,Resource,SBB,1350,Res-Per_SBB,165
PerName,Resource,ZDB,1350,Res-Per_ZDB,0
PerName,UniTitle,GND,1350,Uni-Per_GND,0
PerName,CorpName,GND,1400,Corp-Per_GND,131
PerName,CorpName,Comp,1400,Corp-Per_Comp,3959
PerName,GeoName,GND,1400,Geo-Per_GND,1726
PerName,MeetName,GND,1400,Meet-Per_GND,3
PerName,PerName,GND,1400,Per-Per_GND,2618
PerName,PerName,Comp,1400,Per-Per_Comp,50025
PerName,Resource,KPE,1400,Res-Per_KPE,315
PerName,Resource,DNB,1400,Res-Per_DNB,1
PerName,Resource,SBB,1400,Res-Per_SBB,57
PerName,Resource,ZDB,1400,Res-Per_ZDB,0
PerName,UniTitle,GND,1400,Uni-Per_GND,0
PerName,CorpName,GND,1450,Corp-Per_GND,300
PerName,CorpName,Comp,1450,Corp-Per_Comp,21925
PerName,GeoName,GND,1450,Geo-Per_GND,4752
PerName,MeetName,GND,1450,Meet-Per_GND,22
PerName,PerName,GND,1450,Per-Per_GND,12618
PerName,PerName,Comp,1450,Per-Per_Comp,353956
PerName,Resource,KPE,1450,Res-Per_KPE,526
PerName,Resource,DNB,1450,Res-Per_DNB,534
PerName,Resource,SBB,1450,Res-Per_SBB,1581
PerName,Resource,ZDB,1450,Res-Per_ZDB,0
PerName,UniTitle,GND,1450,Uni-Per_GND,2
PerName,CorpName,GND,1500,Corp-Per_GND,678
PerName,CorpName,Comp,1500,Corp-Per_Comp,34204
PerName,GeoName,GND,1500,Geo-Per_GND,10697
PerName,MeetName,GND,1500,Meet-Per_GND,5
PerName,PerName,GND,1500,Per-Per_GND,27591
PerName,PerName,Comp,1500,Per-Per_Comp,550226
PerName,Resource,KPE,1500,Res-Per_KPE,8305
PerName,Resource,DNB,1500,Res-Per_DNB,1834
PerName,Resource,SBB,1500,Res-Per_SBB,56243
PerName,Resource,ZDB,1500,Res-Per_ZDB,0
PerName,UniTitle,GND,1500,Uni-Per_GND,34
PerName,CorpName,GND,1550,Corp-Per_GND,1596
PerName,CorpName,Comp,1550,Corp-Per_Comp,51703
PerName,GeoName,GND,1550,Geo-Per_GND,22093
PerName,MeetName,GND,1550,Meet-Per_GND,10
PerName,PerName,GND,1550,Per-Per_GND,32521
PerName,PerName,Comp,1550,Per-Per_Comp,519222
PerName,Resource,KPE,1550,Res-Per_KPE,21014
PerName,Resource,DNB,1550,Res-Per_DNB,1958
PerName,Resource,SBB,1550,Res-Per_SBB,124977
PerName,Resource,ZDB,1550,Res-Per_ZDB,75
PerName,UniTitle,GND,1550,Uni-Per_GND,75
PerName,CorpName,GND,1600,Corp-Per_GND,2114
PerName,CorpName,Comp,1600,Corp-Per_Comp,46835
PerName,GeoName,GND,1600,Geo-Per_GND,30623
PerName,MeetName,GND,1600,Meet-Per_GND,12
PerName,PerName,GND,1600,Per-Per_GND,23613
PerName,PerName,Comp,1600,Per-Per_Comp,562249
PerName,Resource,KPE,1600,Res-Per_KPE,17463
PerName,Resource,DNB,1600,Res-Per_DNB,4684
PerName,Resource,SBB,1600,Res-Per_SBB,106229
PerName,Resource,ZDB,1600,Res-Per_ZDB,184
PerName,UniTitle,GND,1600,Uni-Per_GND,114
PerName,CorpName,GND,1650,Corp-Per_GND,2942
PerName,CorpName,Comp,1650,Corp-Per_Comp,173917
PerName,GeoName,GND,1650,Geo-Per_GND,40342
PerName,MeetName,GND,1650,Meet-Per_GND,8
PerName,PerName,GND,1650,Per-Per_GND,25497
PerName,PerName,Comp,1650,Per-Per_Comp,1005118
PerName,Resource,KPE,1650,Res-Per_KPE,18231
PerName,Resource,DNB,1650,Res-Per_DNB,8621
PerName,Resource,SBB,1650,Res-Per_SBB,158195
PerName,Resource,ZDB,1650,Res-Per_ZDB,272
PerName,UniTitle,GND,1650,Uni-Per_GND,112
PerName,CorpName,GND,1700,Corp-Per_GND,4131
PerName,CorpName,Comp,1700,Corp-Per_Comp,174603
PerName,GeoName,GND,1700,Geo-Per_GND,44923
PerName,MeetName,GND,1700,Meet-Per_GND,33
PerName,PerName,GND,1700,Per-Per_GND,22969
PerName,PerName,Comp,1700,Per-Per_Comp,1284020
PerName,Resource,KPE,1700,Res-Per_KPE,31744
PerName,Resource,DNB,1700,Res-Per_DNB,2731
PerName,Resource,SBB,1700,Res-Per_SBB,188494
PerName,Resource,ZDB,1700,Res-Per_ZDB,688
PerName,UniTitle,GND,1700,Uni-Per_GND,200
PerName,CorpName,GND,1750,Corp-Per_GND,5838
PerName,CorpName,Comp,1750,Corp-Per_Comp,480588
PerName,GeoName,GND,1750,Geo-Per_GND,58303
PerName,MeetName,GND,1750,Meet-Per_GND,39
