entityName,year,value
Philosoph,50,3.0
Historiker,50,2.0
Arzt,50,2.0
Rechtsanwalt,50,2.0
Schriftsteller,50,2.0
Geschichtsschreiber,50,2.0
Biograf,50,1.0
Schriftgelehrter,50,1.0
Offizier,50,1.0
Politiker,50,1.0
Rabbiner,50,1.0
Verwaltungsbeamter,50,1.0
Senator,50,1.0
Statthalter,50,1.0
Privatgelehrter,50,1.0
Philologe,50,1.0
Adel,50,1.0
Chirurg,50,1.0
König,50,1.0
Beamter,50,1.0
Erfinder,50,1.0
Philosoph,100,4.0
Rechtsanwalt,100,2.0
Schriftsteller,100,5.0
Politiker,100,3.0
Rabbiner,100,1.0
Adel,100,1.0
Beamter,100,1.0
Kaiser,100,2.0
Naturwissenschaftler,100,2.0
Heilige,100,1.0
Kalligraph,100,1.0
Psychologe,100,1.0
Astronom,100,1.0
Künstler,100,1.0
Herrscher,100,1.0
Märtyrerin,100,1.0
Redner,100,1.0
Kirchenhistoriker,100,1.0
Priesterin,100,1.0
Satiriker,100,1.0
Pädagoge,100,1.0
Grammatiker,100,1.0
Geograf,100,1.0
Philosoph,150,4.0
Historiker,150,3.0
Arzt,150,6.0
Schriftsteller,150,4.0
Geschichtsschreiber,150,2.0
Politiker,150,3.0
Rabbiner,150,1.0
Adel,150,1.0
König,150,1.0
Kalligraph,150,1.0
Redner,150,1.0
Pädagoge,150,1.0
Grammatiker,150,1.0
Ärztin,150,4.0
Chemiker,150,2.0
Jurist,150,2.0
Chemikerin,150,2.0
Gelehrter,150,2.0
Fotograf,150,2.0
Malerin,150,1.0
Diplomat,150,1.0
Übersetzer,150,1.0
Illustrator,150,1.0
Fleischer,150,1.0
Bürgermeister,150,1.0
Sportler,150,1.0
Priester,150,1.0
Künstlerin,150,1.0
Hotelier,150,1.0
Innere Medizin,150,1.0
Buchdrucker,150,1.0
Sänger,150,1.0
Rechtswissenschaft,150,1.0
Ernährung,150,1.0
Musikwissenschaftlerin,150,1.0
Pferdezucht,150,1.0
Elektrotechniker,150,1.0
Kochbuch,150,1.0
Unternehmer,150,1.0
Moderator,150,1.0
Musiker,150,1.0
Entdecker,150,1.0
Komponist,150,1.0
Märtyrer,150,1.0
Schriftstellerin,150,1.0
Buchhändler,150,1.0
Staatsanwalt,150,1.0
Flötist,150,1.0
Heiliger,150,1.0
Dozent,150,1.0
Kunstsammler,150,1.0
Maler,150,1.0
Segelsportler,150,1.0
Schönheitskönigin,150,1.0
Handelslehrer,150,1.0
Autor,150,1.0
Regierungschefin,150,1.0
Schauspieler,150,1.0
Lyriker,150,1.0
Geistlicher,150,1.0
Bildhauerin,150,1.0
Balafon,150,1.0
Drucker,150,1.0
Theologe,150,1.0
Goldschmiedin,150,1.0
Zoologe,150,1.0
Perkussionist,150,1.0
Arrangeur,150,1.0
Installationskünstler,150,1.0
Politikerin,150,1.0
Patriziat,150,1.0
Kirchenschriftsteller,150,1.0
Filmschauspielerin,150,1.0
Lehrer,150,1.0
Unternehmensberater,150,1.0
Schauspielerin,150,1.0
Publizist,150,1.0
Opernsänger,150,1.0
Kulturmanager,150,1.0
Physiker,150,1.0
Gynäkologin,150,1.0
Herausgeber,150,1.0
Philosoph,200,6.0
Arzt,200,2.0
Schriftsteller,200,5.0
Geschichtsschreiber,200,1.0
Politiker,200,3.0
Beamter,200,2.0
Kaiser,200,3.0
Heilige,200,2.0
Kalligraph,200,1.0
Märtyrerin,200,1.0
Gelehrter,200,1.0
Übersetzer,200,1.0
Komponist,200,1.0
Märtyrer,200,1.0
Heiliger,200,1.0
Kirchenschriftsteller,200,1.0
Bischof,200,2.0
Militär,200,1.0
General,200,1.0
Philosoph,250,4.0
Schriftsteller,250,3.0
Kaiser,250,2.0
Heilige,250,2.0
Astronom,250,1.0
Märtyrerin,250,3.0
Redner,250,1.0
Kirchenhistoriker,250,1.0
Grammatiker,250,1.0
Märtyrer,250,3.0
Heiliger,250,9.0
Theologe,250,2.0
Kirchenschriftsteller,250,1.0
Bischof,250,5.0
Soldat,250,1.0
Missionar,250,1.0
Kaiserin,250,1.0
Alchemist,250,1.0
Kirchenlehrer,250,1.0
Mönch,250,1.0
Familie,250,1.0
Patriarch,250,1.0
Philosoph,300,2.0
Historiker,300,3.0
Schriftsteller,300,5.0
Geschichtsschreiber,300,3.0
Philologe,300,1.0
König,300,1.0
Beamter,300,2.0
Kaiser,300,2.0
Heilige,300,1.0
Kalligraph,300,3.0
Herrscher,300,1.0
Redner,300,1.0
Pädagoge,300,1.0
Grammatiker,300,1.0
Gelehrter,300,1.0
Übersetzer,300,2.0
Märtyrer,300,1.0
Heiliger,300,6.0
Maler,300,1.0
Lyriker,300,1.0
Theologe,300,1.0
Kirchenschriftsteller,300,4.0
Bischof,300,8.0
General,300,1.0
Kirchenlehrer,300,5.0
Mönch,300,3.0
Familie,300,1.0
Patriarch,300,2.0
Papst,300,2.0
Kirchenmusiker,300,1.0
Asketin,300,1.0
Feldherr,300,1.0
Abt,300,1.0
Priscillianismus,300,1.0
Katholikos,300,1.0
Philologie,300,1.0
Asket,300,1.0
Philosoph,350,3.0
Historiker,350,2.0
Schriftsteller,350,8.0
Geschichtsschreiber,350,2.0
Politiker,350,1.0
Adel,350,1.0
König,350,3.0
Kaiser,350,4.0
Heilige,350,1.0
Kalligraph,350,1.0
Herrscher,350,1.0
Kirchenhistoriker,350,2.0
Grammatiker,350,1.0
Gelehrter,350,1.0
Übersetzer,350,1.0
Priester,350,1.0
Heiliger,350,5.0
Maler,350,1.0
Lyriker,350,2.0
Geistlicher,350,2.0
Theologe,350,4.0
Kirchenschriftsteller,350,2.0
Bischof,350,12.0
Missionar,350,1.0
Kirchenlehrer,350,1.0
Mönch,350,6.0
Familie,350,1.0
Feldherr,350,1.0
Asket,350,1.0
Presbyter,350,1.0
Archimandrit,350,1.0
Kirchenväter,350,1.0
Erzbischof,350,1.0
Mädchen,350,1.0
Philosoph,400,2.0
Schriftsteller,400,3.0
Geschichtsschreiber,400,1.0
Statthalter,400,1.0
Adel,400,3.0
König,400,1.0
Kaiser,400,1.0
Heilige,400,2.0
Herrscher,400,1.0
Kirchenhistoriker,400,1.0
Geograf,400,1.0
Gelehrter,400,1.0
Schriftstellerin,400,1.0
Heiliger,400,3.0
Bischof,400,5.0
Kaiserin,400,1.0
Kirchenlehrer,400,1.0
Familie,400,1.0
Papst,400,1.0
Nonne,400,1.0
Hagiograf,400,1.0
Stylit,400,1.0
Philosoph,450,4.0
Historiker,450,3.0
Schriftsteller,450,17.0
Politiker,450,2.0
Adel,450,5.0
König,450,1.0
Kaiser,450,3.0
Heilige,450,2.0
Kalligraph,450,2.0
Astronom,450,1.0
Kirchenhistoriker,450,1.0
Grammatiker,450,1.0
Gelehrter,450,1.0
Übersetzer,450,1.0
Heiliger,450,9.0
Autor,450,2.0
Lyriker,450,1.0
Theologe,450,4.0
Kirchenschriftsteller,450,1.0
Bischof,450,9.0
Missionar,450,1.0
Mönch,450,5.0
Patriarch,450,1.0
Abt,450,4.0
Königin,450,3.0
Rechtsgelehrter,450,1.0
Buddhist,450,1.0
Chronograph,450,1.0
Philosoph,500,2.0
Historiker,500,3.0
Rechtsanwalt,500,1.0
Schriftsteller,500,13.0
Philologe,500,1.0
Adel,500,4.0
König,500,3.0
Beamter,500,1.0
Kaiser,500,1.0
Heilige,500,1.0
Astronom,500,1.0
Kirchenhistoriker,500,1.0
Jurist,500,1.0
Gelehrter,500,1.0
Priester,500,2.0
Heiliger,500,7.0
Lyriker,500,1.0
Bischof,500,6.0
Missionar,500,2.0
Kirchenlehrer,500,1.0
Mönch,500,1.0
Patriarch,500,3.0
Papst,500,2.0
Feldherr,500,1.0
Abt,500,3.0
Asket,500,1.0
Erzbischof,500,1.0
Königin,500,1.0
Sagengestalt,500,3.0
Herzogin,500,1.0
Einsiedlerin,500,1.0
Buddhismus,500,1.0
Kronprinz,500,1.0
Matière de Bretagne,500,1.0
Katholischer Theologe,500,1.0
Christlicher Schriftsteller,500,1.0
Vasenmaler,500,1.0
Philosoph,550,1.0
Historiker,550,6.0
Arzt,550,1.0
Schriftsteller,550,7.0
Geschichtsschreiber,550,1.0
Politiker,550,3.0
Philologe,550,2.0
Adel,550,7.0
König,550,4.0
Beamter,550,1.0
Kaiser,550,2.0
Kalligraph,550,4.0
Herrscher,550,2.0
Gelehrter,550,1.0
Märtyrer,550,1.0
Schriftstellerin,550,1.0
Heiliger,550,11.0
Lyriker,550,1.0
Theologe,550,1.0
Lehrer,550,1.0
Bischof,550,8.0
Alchemist,550,1.0
Mönch,550,6.0
Abt,550,3.0
Philologie,550,1.0
Erzbischof,550,1.0
Königin,550,2.0
Buddhist,550,1.0
Händler,550,1.0
Religionsstifter,550,1.0
Graf,550,1.0
Ṣaḥāba,550,1.0
Apotheker,550,1.0
Ehefrau,550,1.0
Kalif,550,1.0
Goldschmied,550,1.0
Finanzminister,550,1.0
Apostel,550,1.0
Herzog,550,1.0
Einsiedler,550,1.0
Prophet,550,1.0
Muslimin,550,1.0
Philosoph,600,3.0
Arzt,600,1.0
Schriftsteller,600,9.0
Adel,600,4.0
König,600,6.0
Kaiser,600,2.0
Heilige,600,3.0
Kalligraph,600,2.0
Astronom,600,1.0
Übersetzer,600,1.0
Märtyrer,600,1.0
Heiliger,600,17.0
Maler,600,1.0
Autor,600,2.0
Lyriker,600,4.0
Geistlicher,600,1.0
Theologe,600,6.0
Kirchenschriftsteller,600,1.0
Bischof,600,6.0
Militär,600,1.0
General,600,1.0
Missionar,600,2.0
Mönch,600,8.0
Familie,600,1.0
Patriarch,600,2.0
Abt,600,6.0
Erzbischof,600,3.0
Nonne,600,2.0
Graf,600,1.0
Kalif,600,2.0
Herzog,600,1.0
Äbtissin,600,6.0
Hausmeier,600,2.0
Kaufmann,600,2.0
Pharmakologe,600,1.0
Prinz,600,1.0
Mathematiker,600,1.0
Koranrezitator,600,1.0
Minister,600,1.0
Amtsträger,600,1.0
Hofbeamter,600,1.0
Tafsir,600,1.0
Aufständischer,600,1.0
Historiker,650,5.0
Schriftsteller,650,11.0
Rabbiner,650,1.0
Verwaltungsbeamter,650,1.0
Adel,650,10.0
König,650,6.0
Beamter,650,1.0
Kaiser,650,2.0
Heilige,650,1.0
Kalligraph,650,2.0
Astronom,650,1.0
Künstler,650,1.0
Herrscher,650,1.0
Gelehrter,650,2.0
Heiliger,650,7.0
Lyriker,650,3.0
Theologe,650,7.0
Bischof,650,7.0
Missionar,650,5.0
Mönch,650,6.0
Abt,650,2.0
Erzbischof,650,3.0
Rechtsgelehrter,650,1.0
Buddhist,650,3.0
Einsiedlerin,650,1.0
Graf,650,1.0
Herzog,650,1.0
Prinz,650,1.0
Gouverneur,650,1.0
Kommentator,650,1.0
Gründerin,650,1.0
Mystiker,650,1.0
Metropolit,650,1.0
Chronist,650,1.0
Imam,650,1.0
Wallfahrerin,650,1.0
Philosoph,700,1.0
Historiker,700,1.0
Arzt,700,2.0
Schriftsteller,700,13.0
Geschichtsschreiber,700,3.0
Politiker,700,2.0
Philologe,700,1.0
Adel,700,6.0
König,700,5.0
Kaiser,700,1.0
Heilige,700,1.0
Kalligraph,700,1.0
Astronom,700,1.0
Künstler,700,1.0
Herrscher,700,4.0
Grammatiker,700,1.0
Gelehrter,700,6.0
Übersetzer,700,1.0
Musiker,700,1.0
Heiliger,700,3.0
Maler,700,3.0
Autor,700,1.0
Lyriker,700,4.0
Geistlicher,700,1.0
Theologe,700,9.0
Bischof,700,6.0
Missionar,700,1.0
Mönch,700,5.0
Familie,700,1.0
Abt,700,5.0
Erzbischof,700,1.0
Nonne,700,1.0
Rechtsgelehrter,700,4.0
Buddhist,700,1.0
Sagengestalt,700,1.0
Graf,700,1.0
Kalif,700,2.0
Herzog,700,4.0
Koranrezitator,700,1.0
Aufständischer,700,1.0
Lexikograf,700,2.0
Sufismus,700,1.0
Astrologe,700,1.0
Religiöser Führer,700,1.0
Höfling,700,1.0
Medizin,700,1.0
Fürst,700,1.0
Biografin,700,1.0
Fikh,700,1.0
Linguist,700,1.0
Malikiten,700,1.0
Mystikerin,700,1.0
Präfekt,700,1.0
Islamwissenschaftler,700,1.0
Bhikku,700,1.0
Weiblicher Adel,700,1.0
Philosoph,750,2.0
Historiker,750,5.0
Arzt,750,1.0
Schriftsteller,750,20.0
Biograf,750,1.0
Politiker,750,1.0
Philologe,750,4.0
Adel,750,9.0
König,750,5.0
Beamter,750,1.0
Kaiser,750,2.0
Heilige,750,5.0
Astronom,750,1.0
Herrscher,750,1.0
Satiriker,750,1.0
Grammatiker,750,2.0
Jurist,750,3.0
Gelehrter,750,4.0
Sänger,750,1.0
Märtyrer,750,1.0
Schriftstellerin,750,2.0
Heiliger,750,7.0
Autor,750,1.0
Lyriker,750,2.0
Geistlicher,750,1.0
Theologe,750,8.0
Bischof,750,10.0
Missionar,750,1.0
Kaiserin,750,1.0
Mönch,750,3.0
Patriarch,750,3.0
Papst,750,2.0
Feldherr,750,1.0
Abt,750,8.0
Erzbischof,750,5.0
Königin,750,2.0
Rechtsgelehrter,750,6.0
Herzogin,750,1.0
Graf,750,3.0
Kalif,750,1.0
Herzog,750,2.0
Einsiedler,750,1.0
Muslimin,750,1.0
Äbtissin,750,2.0
Mathematiker,750,1.0
Mystiker,750,1.0
Chronist,750,1.0
Lexikograf,750,1.0
Astrologe,750,1.0
Kadi,750,2.0
Erwählter,750,1.0
Konventuale,750,1.0
Lyrikerin,750,1.0
Musikerin,750,1.0
Domkapitular,750,1.0
Kanzler,750,1.0
