entityName,year,value
Stadtrecht,1400,3.0
Friedensvertrag,1400,1.0
Feuerwerksbuch,1400,1.0
Frühneuhochdeutsch,1400,1.0
Stadtrecht,1450,2.0
Friedensvertrag,1450,1.0
Halsgerichtsordnung,1450,1.0
Hanse,1450,1.0
Stadtrecht,1500,2.0
Kirchenordnung,1500,5.0
Evangelische Kirche,1500,2.0
Landesordnung,1500,2.0
Rechtsquelle,1500,1.0
Steuererklärung,1500,1.0
Grundherr,1500,1.0
Landfriede,1500,1.0
Cantio,1500,1.0
Gerichtsverfassungsrecht,1500,1.0
Kirchenordnung,1550,8.0
Evangelische Kirche,1550,6.0
Landesordnung,1550,1.0
Rechtsquelle,1550,1.0
Sechsstimmigkeit,1550,3.0
Vierstimmigkeit,1550,2.0
Kochbuch,1550,1.0
Achtstimmigkeit,1550,1.0
Fünfstimmigkeit,1550,1.0
Stadtrecht,1600,1.0
Polizeirecht,1600,2.0
Depotfund,1600,1.0
Berufsrecht,1600,1.0
Berufsordnung,1600,1.0
Prozessrecht,1600,1.0
Kopie,1600,1.0
Kirchenordnung,1650,1.0
Evangelische Kirche,1650,1.0
Polizeirecht,1650,1.0
Historische Karte,1650,2.0
Vokalmusik,1650,1.0
Friedensvertrag,1700,2.0
Vokalmusik,1700,1.0
Violinsonate,1700,5.0
Österreichischer Erbfolgekrieg,1700,1.0
Spanischer Erbfolgekrieg,1700,1.0
Fassung,1700,1.0
Lyrik,1700,1.0
Rastatt,1700,1.0
Instrumentalstück,1700,1.0
Friedensvertrag,1750,2.0
Violinsonate,1750,1.0
Kammermusik,1750,7.0
Klaviersonate,1750,4.0
Triosonate,1750,2.0
Oper,1750,2.0
Passionsmusik,1750,2.0
Streichquartett,1750,2.0
Französische Revolution,1750,2.0
Viola-da-Gamba-Musik,1750,1.0
Siebenjähriger Krieg,1750,1.0
Irokesen,1750,1.0
Musterbuch,1750,1.0
Literarische Zeitschrift,1750,1.0
Nordamerikanischer Unabhängigkeitskrieg,1750,1.0
Kirchenverfassung,1750,1.0
Strafrecht,1750,1.0
Vierhändige Klaviermusik,1750,1.0
Zeitschrift,1750,1.0
Violakonzert,1750,1.0
Fassung,1800,4.0
Streichquartett,1800,1.0
Literarische Zeitschrift,1800,3.0
Kirchenverfassung,1800,1.0
Strafrecht,1800,4.0
Vierhändige Klaviermusik,1800,1.0
Zeitschrift,1800,2.0
Schallaufzeichnung,1800,7.0
Verfassungsrecht,1800,5.0
Zeitung,1800,3.0
Politische Zeitschrift,1800,3.0
Opera buffa,1800,2.0
Gesamtausgabe,1800,1.0
Kulturzeitschrift,1800,1.0
Indianerreservat,1800,1.0
Gewerkschaftspresse,1800,1.0
Satirische Zeitschrift,1800,1.0
Klavierkonzert,1800,1.0
Revolution,1800,1.0
Politik,1800,1.0
Geistliche Musik,1800,1.0
Kunstzeitschrift,1800,1.0
Homosexualität,1800,1.0
Kirchenmusik,1800,1.0
Friedensvertrag,1850,1.0
Fassung,1850,6.0
Instrumentalstück,1850,1.0
Streichquartett,1850,1.0
Literarische Zeitschrift,1850,1.0
Kirchenverfassung,1850,1.0
Strafrecht,1850,3.0
Zeitschrift,1850,3.0
Verfassungsrecht,1850,2.0
Zeitung,1850,6.0
Politische Zeitschrift,1850,2.0
Kulturzeitschrift,1850,1.0
Satirische Zeitschrift,1850,2.0
Kunstzeitschrift,1850,1.0
Opernarie,1850,4.0
Bürgerrecht,1850,2.0
Bauordnungsrecht,1850,2.0
Sinfonische Dichtung,1850,1.0
Adagio,1850,1.0
Patentrecht,1850,1.0
Freiwillige Gerichtsbarkeit,1850,1.0
Sklaverei,1850,1.0
Zarzuela,1850,1.0
Gewerberecht,1850,1.0
Kommunalrecht,1850,1.0
Novelle,1850,1.0
Forstrecht,1850,1.0
Zivilprozessrecht,1850,1.0
Bundesrecht,1850,1.0
Friedensvertrag,1900,2.0
Kirchenordnung,1900,1.0
Evangelische Kirche,1900,1.0
Violinsonate,1900,4.0
Fassung,1900,28.0
Instrumentalstück,1900,2.0
Klaviersonate,1900,2.0
Streichquartett,1900,9.0
Literarische Zeitschrift,1900,4.0
Kirchenverfassung,1900,7.0
Zeitschrift,1900,9.0
Violakonzert,1900,2.0
Verfassungsrecht,1900,4.0
Zeitung,1900,8.0
Politische Zeitschrift,1900,3.0
Kulturzeitschrift,1900,3.0
Satirische Zeitschrift,1900,1.0
Klavierkonzert,1900,1.0
Kunstzeitschrift,1900,2.0
Bauordnungsrecht,1900,1.0
Patentrecht,1900,1.0
Kommunalrecht,1900,1.0
Zivilprozessrecht,1900,1.0
Film,1900,27.0
Stummfilm,1900,5.0
Klaviermusik,1900,4.0
Landeskunde,1900,4.0
Violinkonzert,1900,3.0
Landesverfassungsrecht,1900,2.0
Streichtrio,1900,2.0
Völkerrechtlicher Vertrag,1900,2.0
Gitarrenmusik,1900,2.0
Jugendzeitschrift,1900,2.0
Weltkrieg,1900,2.0
Unabhängigkeitserklärung,1900,2.0
Violoncellokonzert,1900,2.0
Animationsfilm,1900,1.0
Versicherungsaufsicht,1900,1.0
Grenzvertrag,1900,1.0
Jugendarbeitsschutz,1900,1.0
Kontrabasskonzert,1900,1.0
Gaststättenrecht,1900,1.0
Bibliophilie,1900,1.0
Streichduo,1900,1.0
Energiewirtschaftsrecht,1900,1.0
Kurzfilm,1900,1.0
Insolvenzrecht,1900,1.0
Gemeindeverfassung,1900,1.0
Südtirolfrage,1900,1.0
Balkankrieg,1900,1.0
Arbeitsgerichtsbarkeit,1900,1.0
Kanonisches Recht,1900,1.0
Wochenzeitung,1900,1.0
Übersetzung,1900,1.0
Tierschutzrecht,1900,1.0
Violinmusik,1900,1.0
Kriminalfilm,1900,1.0
Bläserquintett,1900,1.0
Wochenzeitschrift,1900,1.0
Hornkonzert,1900,1.0
Unlauterer Wettbewerb,1900,1.0
Unterhaltungszeitschrift,1900,1.0
Serienfilm,1900,1.0
Kulturgüterschutz,1900,1.0
Sportzeitschrift,1900,1.0
Genfer Konventionen,1900,1.0
Postzug,1900,1.0
Sicherheit und Ordnung,1900,1.0
Chemikalienrecht,1900,1.0
Anthologie,1900,1.0
Außenpolitik,1900,1.0
Dokumentarfilm,1900,1.0
Westfront,1900,1.0
Straßenverkehrsrecht,1900,1.0
Gesundheitsrecht,1900,1.0
Liederzyklus,1900,1.0
Lexikon,1900,1.0
Landeswahlrecht,1900,1.0
Saarfrage,1900,1.0
Frauenzeitschrift,1900,1.0
Filmmusical,1900,1.0
Personenstandsrecht,1900,1.0
Deutsch,1900,1.0
Buch,1900,1.0
Lied,1900,1.0
Währungsreform,1900,1.0
Aktienrecht,1900,1.0
Verfassung,1900,1.0
Experimentalfilm,1900,1.0
Funktechnik,1900,1.0
Jugendzeitung,1900,1.0
Ermächtigungsgesetz,1900,1.0
